Configuration,BufferSize,Duration(ms)
1P-1C,1,60
1P-1C,2,26
1P-1C,4,17
1P-1C,5,16
1P-1C,10,18
1P-1C,50,20
1P-1C,100,17
1P-2C,1,10
1P-2C,2,11
1P-2C,4,12
1P-2C,5,11
1P-2C,10,13
1P-2C,50,11
1P-2C,100,11
1P-4C,1,9
1P-4C,2,11
1P-4C,4,11
1P-4C,5,8
1P-4C,10,10
1P-4C,50,8
1P-4C,100,9
1P-10C,1,8
1P-10C,2,8
1P-10C,4,10
1P-10C,5,8
1P-10C,10,9
1P-10C,50,8
1P-10C,100,9
1P-50C,1,12
1P-50C,2,12
1P-50C,4,12
1P-50C,5,11
1P-50C,10,13
1P-50C,50,13
1P-50C,100,12
2P-1C,1,21
2P-1C,2,21
2P-1C,4,22
2P-1C,5,23
2P-1C,10,27
2P-1C,50,29
2P-1C,100,28
2P-2C,1,21
2P-2C,2,20
2P-2C,4,20
2P-2C,5,20
2P-2C,10,16
2P-2C,50,20
2P-2C,100,18
2P-4C,1,14
2P-4C,2,13
2P-4C,4,15
2P-4C,5,12
2P-4C,10,13
2P-4C,50,14
2P-4C,100,12
2P-10C,1,13
2P-10C,2,13
2P-10C,4,15
2P-10C,5,12
2P-10C,10,12
2P-10C,50,12
2P-10C,100,13
2P-50C,1,16
2P-50C,2,18
2P-50C,4,16
2P-50C,5,17
2P-50C,10,17
2P-50C,50,17
2P-50C,100,18
4P-1C,1,33
4P-1C,2,32
4P-1C,4,33
4P-1C,5,31
4P-1C,10,33
4P-1C,50,29
4P-1C,100,34
4P-2C,1,21
4P-2C,2,21
4P-2C,4,25
4P-2C,5,25
4P-2C,10,25
4P-2C,50,24
4P-2C,100,23
4P-4C,1,20
4P-4C,2,20
4P-4C,4,19
4P-4C,5,21
4P-4C,10,24
4P-4C,50,22
4P-4C,100,23
4P-10C,1,25
4P-10C,2,24
4P-10C,4,22
4P-10C,5,23
4P-10C,10,21
4P-10C,50,20
4P-10C,100,22
4P-50C,1,28
4P-50C,2,24
4P-50C,4,25
4P-50C,5,25
4P-50C,10,27
4P-50C,50,28
4P-50C,100,26
10P-1C,1,87
10P-1C,2,90
10P-1C,4,84
10P-1C,5,79
10P-1C,10,90
10P-1C,50,83
10P-1C,100,83
10P-2C,1,68
10P-2C,2,65
10P-2C,4,64
10P-2C,5,62
10P-2C,10,57
10P-2C,50,57
10P-2C,100,60
10P-4C,1,51
10P-4C,2,46
10P-4C,4,50
10P-4C,5,50
10P-4C,10,46
10P-4C,50,49
10P-4C,100,49
10P-10C,1,53
10P-10C,2,48
10P-10C,4,45
10P-10C,5,46
10P-10C,10,48
10P-10C,50,48
10P-10C,100,44
10P-50C,1,59
10P-50C,2,56
10P-50C,4,57
10P-50C,5,53
10P-50C,10,52
10P-50C,50,49
10P-50C,100,54
50P-1C,1,579
50P-1C,2,558
50P-1C,4,653
50P-1C,5,606
50P-1C,10,591
50P-1C,50,588
50P-1C,100,604
50P-2C,1,397
50P-2C,2,378
50P-2C,4,397
50P-2C,5,387
50P-2C,10,369
50P-2C,50,400
50P-2C,100,397
50P-4C,1,313
50P-4C,2,300
50P-4C,4,292
50P-4C,5,301
50P-4C,10,301
50P-4C,50,299
50P-4C,100,313
50P-10C,1,278
50P-10C,2,270
50P-10C,4,250
50P-10C,5,236
50P-10C,10,237
50P-10C,50,266
50P-10C,100,242
50P-50C,1,277
50P-50C,2,252
50P-50C,4,305
50P-50C,5,268
50P-50C,10,251
50P-50C,50,234
50P-50C,100,266
